order_id,state,status,delivery_days,delivery_status
ORD000002,Rajasthan,delivered,8.0,Late
ORD000003,Odisha,delivered,11.0,Late
ORD000007,Telangana,delivered,8.0,On Time
ORD000015,Delhi,delivered,4.0,On Time
ORD000016,Maharashtra,delivered,4.0,On Time
ORD000018,Maharashtra,delivered,12.0,Late
ORD000019,Uttar Pradesh,delivered,6.0,On Time
ORD000020,Maharashtra,delivered,8.0,On Time
ORD000021,Madhya Pradesh,delivered,9.0,Late
ORD000022,Delhi,delivered,7.0,Late
ORD000024,Haryana,delivered,8.0,On Time
ORD000025,Uttar Pradesh,delivered,6.0,On Time
ORD000028,Maharashtra,delivered,10.0,On Time
ORD000029,Uttar Pradesh,delivered,10.0,Late
ORD000031,Maharashtra,delivered,7.0,Late
ORD000032,Karnataka,delivered,7.0,Late
ORD000034,Bihar,delivered,12.0,Late
ORD000036,Odisha,delivered,7.0,Late
ORD000037,Uttar Pradesh,delivered,8.0,Late
ORD000038,West Bengal,delivered,10.0,Late
ORD000041,Karnataka,delivered,11.0,Late
ORD000042,Telangana,delivered,9.0,Late
ORD000043,Delhi,delivered,6.0,On Time
ORD000044,Rajasthan,delivered,10.0,On Time
ORD000046,Telangana,delivered,10.0,Late
ORD000047,Karnataka,delivered,12.0,Late
ORD000050,West Bengal,delivered,9.0,Late
ORD000051,Bihar,delivered,9.0,Late
ORD000054,Kerala,delivered,7.0,Late
ORD000055,Kerala,delivered,2.0,On Time
ORD000056,Tamil Nadu,delivered,6.0,On Time
ORD000060,Karnataka,delivered,2.0,On Time
ORD000061,Madhya Pradesh,delivered,11.0,Late
ORD000062,Maharashtra,delivered,4.0,On Time
ORD000065,Delhi,delivered,13.0,Late
ORD000067,Odisha,delivered,13.0,Late
ORD000068,Odisha,delivered,6.0,Late
ORD000069,Maharashtra,delivered,5.0,On Time
ORD000070,West Bengal,delivered,7.0,Late
ORD000074,Bihar,delivered,13.0,Late
ORD000076,Tamil Nadu,delivered,12.0,Late
ORD000077,Gujarat,delivered,5.0,On Time
ORD000082,Maharashtra,delivered,5.0,Late
ORD000085,Delhi,delivered,9.0,Late
ORD000086,Gujarat,delivered,2.0,On Time
ORD000088,West Bengal,delivered,6.0,On Time
ORD000091,Telangana,delivered,10.0,Late
ORD000092,Telangana,delivered,7.0,On Time
ORD000095,Maharashtra,delivered,11.0,Late
ORD000098,Delhi,delivered,7.0,On Time
ORD000099,Kerala,delivered,7.0,On Time
ORD000100,Rajasthan,delivered,10.0,Late
ORD000101,Odisha,delivered,14.0,Late
ORD000107,Tamil Nadu,delivered,9.0,Late
ORD000108,Gujarat,delivered,2.0,On Time
ORD000109,West Bengal,delivered,11.0,Late
ORD000112,Rajasthan,delivered,11.0,Late
ORD000113,Haryana,delivered,9.0,Late
ORD000116,Maharashtra,delivered,5.0,On Time
ORD000121,Madhya Pradesh,delivered,3.0,On Time
ORD000129,Odisha,delivered,3.0,On Time
ORD000130,Delhi,delivered,5.0,Late
ORD000131,West Bengal,delivered,11.0,Late
ORD000132,Tamil Nadu,delivered,12.0,Late
ORD000136,Karnataka,delivered,9.0,On Time
ORD000140,Pune,delivered,5.0,Late
ORD000141,Bihar,delivered,12.0,Late
ORD000143,Bihar,delivered,6.0,On Time
ORD000147,West Bengal,delivered,11.0,Late
ORD000150,Odisha,delivered,12.0,Late
ORD000151,Maharashtra,delivered,5.0,Late
ORD000152,Karnataka,delivered,11.0,Late
ORD000155,Haryana,delivered,8.0,Late
ORD000158,Gujarat,delivered,7.0,On Time
ORD000159,Karnataka,delivered,7.0,Late
ORD000168,West Bengal,delivered,3.0,On Time
ORD000170,Bihar,delivered,10.0,Late
ORD000171,Madhya Pradesh,delivered,4.0,On Time
ORD000173,Madhya Pradesh,delivered,10.0,Late
ORD000177,Pune,delivered,8.0,On Time
ORD000179,Telangana,delivered,5.0,On Time
ORD000181,Tamil Nadu,delivered,8.0,Late
ORD000184,Karnataka,delivered,12.0,Late
ORD000185,Madhya Pradesh,delivered,9.0,On Time
ORD000186,Delhi,delivered,12.0,Late
ORD000187,Karnataka,delivered,9.0,On Time
ORD000189,Delhi,delivered,3.0,On Time
ORD000191,Gujarat,delivered,13.0,Late
ORD000192,Kerala,delivered,5.0,Late
ORD000195,Haryana,delivered,13.0,Late
ORD000197,Telangana,delivered,14.0,Late
ORD000200,Madhya Pradesh,delivered,2.0,On Time
ORD000201,Kerala,delivered,2.0,On Time
ORD000202,Tamil Nadu,delivered,9.0,On Time
ORD000205,Bihar,delivered,1.0,On Time
ORD000207,West Bengal,delivered,10.0,Late
ORD000208,Kerala,delivered,14.0,Late
ORD000210,Gujarat,delivered,10.0,Late
ORD000212,Delhi,delivered,7.0,On Time
ORD000213,Bihar,delivered,3.0,On Time
ORD000214,Bihar,delivered,4.0,On Time
ORD000217,Bihar,delivered,3.0,On Time
ORD000225,West Bengal,delivered,6.0,On Time
ORD000227,Uttar Pradesh,delivered,12.0,Late
ORD000228,Karnataka,delivered,6.0,On Time
ORD000231,Telangana,delivered,10.0,Late
ORD000232,Bihar,delivered,12.0,Late
ORD000234,Madhya Pradesh,delivered,13.0,Late
ORD000236,Kerala,delivered,13.0,Late
ORD000239,Gujarat,delivered,11.0,Late
ORD000243,West Bengal,delivered,11.0,Late
ORD000244,Telangana,delivered,5.0,Late
ORD000247,Pune,delivered,2.0,On Time
ORD000248,Telangana,delivered,6.0,On Time
ORD000249,Odisha,delivered,2.0,On Time
ORD000251,Pune,delivered,7.0,Late
ORD000255,Madhya Pradesh,delivered,9.0,Late
ORD000256,Maharashtra,delivered,7.0,Late
ORD000261,Telangana,delivered,13.0,Late
ORD000262,West Bengal,delivered,10.0,Late
ORD000265,Odisha,delivered,10.0,Late
ORD000266,Karnataka,delivered,6.0,On Time
ORD000269,Gujarat,delivered,4.0,On Time
ORD000271,Bihar,delivered,8.0,Late
ORD000272,Haryana,delivered,13.0,Late
ORD000274,Kerala,delivered,10.0,Late
ORD000275,Delhi,delivered,12.0,Late
ORD000276,Rajasthan,delivered,7.0,On Time
ORD000277,Bihar,delivered,7.0,Late
ORD000278,Kerala,delivered,9.0,On Time
ORD000279,Tamil Nadu,delivered,10.0,On Time
ORD000284,Maharashtra,delivered,4.0,On Time
ORD000285,Rajasthan,delivered,8.0,On Time
ORD000286,Madhya Pradesh,delivered,9.0,Late
ORD000287,Maharashtra,delivered,8.0,Late
ORD000289,Uttar Pradesh,delivered,9.0,Late
ORD000290,Bihar,delivered,10.0,Late
ORD000291,Delhi,delivered,13.0,Late
ORD000292,Delhi,delivered,9.0,Late
ORD000294,West Bengal,delivered,10.0,Late
ORD000295,Bihar,delivered,5.0,On Time
ORD000296,Maharashtra,delivered,6.0,Late
ORD000302,Uttar Pradesh,delivered,5.0,On Time
ORD000303,Bihar,delivered,2.0,On Time
ORD000304,Uttar Pradesh,delivered,8.0,Late
ORD000306,Rajasthan,delivered,2.0,On Time
ORD000307,Madhya Pradesh,delivered,5.0,Late
ORD000310,Uttar Pradesh,delivered,10.0,Late
ORD000313,Pune,delivered,10.0,Late
ORD000316,Haryana,delivered,10.0,Late
ORD000317,Tamil Nadu,delivered,3.0,On Time
ORD000318,Tamil Nadu,delivered,5.0,Late
ORD000319,Haryana,delivered,12.0,Late
ORD000321,Delhi,delivered,8.0,On Time
ORD000323,Bihar,delivered,8.0,Late
ORD000324,Telangana,delivered,5.0,On Time
