month,year,total_orders,revenue,avg_order_value,unique_customers,mom_growth_pct
2022-01,2022,145,10396910.25,71702.83,141,
2022-02,2022,126,9683205.45,76850.84,122,-6.86
2022-03,2022,136,11767432.99,86525.24,128,21.52
2022-04,2022,139,9574850.05,68883.81,136,-18.63
2022-05,2022,158,11086860.5,70170.0,152,15.79
2022-06,2022,150,10464019.87,69760.13,145,-5.62
2022-07,2022,144,10797444.63,74982.25,138,3.19
2022-08,2022,159,11906597.99,74884.26,154,10.27
2022-09,2022,125,8808654.55,70469.24,117,-26.02
2022-10,2022,131,8401694.18,64135.07,129,-4.62
2022-11,2022,139,9073066.01,65273.86,135,7.99
2022-12,2022,141,11648748.77,82615.24,134,28.39
2023-01,2023,126,9082215.16,72081.07,124,-22.03
2023-02,2023,118,9329752.4,79065.7,116,2.73
2023-03,2023,142,10183867.99,71717.38,137,9.15
2023-04,2023,153,11033927.44,72117.17,149,8.35
2023-05,2023,132,9721512.03,73647.82,124,-11.89
2023-06,2023,148,11765282.72,79495.15,144,21.02
2023-07,2023,139,10135810.79,72919.5,137,-13.85
2023-08,2023,159,10737316.89,67530.29,156,5.93
2023-09,2023,125,8593467.46,68747.74,121,-19.97
2023-10,2023,131,8910953.09,68022.54,125,3.69
2023-11,2023,130,9526208.54,73278.53,124,6.9
2023-12,2023,131,8971912.04,68487.88,129,-5.82
2024-01,2024,157,12229723.05,77896.33,149,36.31
2024-02,2024,131,11464762.24,87517.27,127,-6.25
2024-03,2024,149,11172779.42,74985.1,144,-2.55
2024-04,2024,130,11459676.19,88151.36,125,2.57
2024-05,2024,159,12780566.27,80380.92,152,11.53
2024-06,2024,145,9977240.41,68808.55,140,-21.93
2024-07,2024,135,10689992.12,79185.13,131,7.14
2024-08,2024,159,12202178.13,76743.26,156,14.15
2024-09,2024,146,10891061.91,74596.31,139,-10.74
2024-10,2024,142,9300129.29,65493.87,133,-14.61
2024-11,2024,141,10144320.55,71945.54,136,9.08
2024-12,2024,130,9660332.24,74310.25,128,-4.77
