state,orders,revenue,customers,avg_order_value
Maharashtra,399,29921453.13,151,74991.11
Karnataka,364,28075220.3,134,77129.73
Uttar Pradesh,347,27733810.82,124,79924.53
Madhya Pradesh,336,26190437.46,117,77947.73
Kerala,343,26182708.96,128,76334.43
Telangana,342,25374768.28,132,74195.23
Rajasthan,347,25291526.53,126,72886.24
Odisha,332,24906882.11,119,75020.73
West Bengal,319,24629605.79,114,77208.8
Bihar,355,23994741.34,125,67590.82
Pune,315,23483233.1,126,74549.95
Gujarat,322,22572598.83,120,70101.24
Tamil Nadu,350,22358077.84,109,63880.22
Haryana,285,22188961.68,105,77856.01
Delhi,295,20670447.44,115,70069.31
