product_id,product_name,category,price,rating,reviews_count,times_ordered,total_revenue
P0131,Jewellery Product 131,Jewellery,96090.66,3.0,1729,39,6273272.59
P0141,Jewellery Product 141,Jewellery,95177.06,4.6,4721,32,5599558.87
P0053,Jewellery Product 53,Jewellery,98417.62,2.5,4544,33,5597409.77
P0107,Jewellery Product 107,Jewellery,78698.26,4.2,565,39,5206290.63
P0367,Jewellery Product 367,Jewellery,87567.24,3.8,2964,34,5090899.14
P0081,Jewellery Product 81,Jewellery,85274.29,4.7,4716,36,4995030.75
P0310,Jewellery Product 310,Jewellery,72622.01,4.8,338,37,4473060.89
P0261,Jewellery Product 261,Jewellery,98475.1,4.4,4120,27,4434405.46
P0128,Jewellery Product 128,Jewellery,95014.31,2.8,3410,24,4274487.04
P0008,Jewellery Product 8,Jewellery,88774.27,4.3,376,27,4116421.83
P0473,Jewellery Product 473,Jewellery,74766.79,3.8,4692,31,3960851.66
P0061,Electronics Product 61,Electronics,72419.35,4.2,2898,30,3948818.33
P0086,Jewellery Product 86,Jewellery,81870.64,4.6,4489,28,3838391.25
P0419,Jewellery Product 419,Jewellery,66494.71,3.3,1698,32,3833716.48
P0176,Jewellery Product 176,Jewellery,75026.87,3.2,1886,26,3778619.04
P0175,Electronics Product 175,Electronics,78345.84,2.5,402,25,3697097.88
P0044,Electronics Product 44,Electronics,61098.17,3.7,4351,34,3648377.75
P0395,Jewellery Product 395,Jewellery,61086.36,4.5,4814,31,3634304.68
P0101,Electronics Product 101,Electronics,61567.49,4.6,1249,34,3609438.01
P0142,Electronics Product 142,Electronics,62233.18,4.1,2279,29,3569293.88
P0213,Electronics Product 213,Electronics,48984.88,4.2,3366,36,3438175.73
P0293,Electronics Product 293,Electronics,50382.11,3.4,3637,38,3397145.98
P0441,Jewellery Product 441,Jewellery,78633.49,4.5,3219,23,3151154.13
P0349,Electronics Product 349,Electronics,77338.91,3.5,3897,24,3142662.5
P0104,Home & Furniture Product 104,Home & Furniture,48271.32,4.8,4717,40,3085114.89
P0425,Electronics Product 425,Electronics,52559.22,3.7,2915,33,3072257.71
P0326,Jewellery Product 326,Jewellery,68679.07,2.7,3058,27,3033792.5
P0048,Jewellery Product 48,Jewellery,53232.71,4.2,2574,32,2964744.46
P0432,Jewellery Product 432,Jewellery,78874.99,3.2,3177,26,2957740.08
P0382,Jewellery Product 382,Jewellery,77073.24,3.1,552,26,2925115.84
P0243,Jewellery Product 243,Jewellery,60219.82,3.9,337,30,2842435.21
P0289,Electronics Product 289,Electronics,59511.08,5.0,2250,28,2831976.53
P0097,Jewellery Product 97,Jewellery,57310.41,3.6,3783,26,2808310.03
P0031,Electronics Product 31,Electronics,49123.15,2.5,483,36,2789826.43
P0407,Electronics Product 407,Electronics,67930.14,4.2,53,25,2783122.29
P0449,Home & Furniture Product 449,Home & Furniture,32702.99,4.2,3274,48,2761506.7
P0143,Home & Furniture Product 143,Home & Furniture,49850.33,3.7,748,30,2750703.4
P0372,Electronics Product 372,Electronics,46909.79,4.3,3244,27,2668497.87
P0025,Electronics Product 25,Electronics,49920.84,4.8,2520,31,2644356.96
P0273,Jewellery Product 273,Jewellery,54533.27,3.1,1177,28,2635129.0
P0177,Jewellery Product 177,Jewellery,80589.33,4.1,1121,26,2626258.53
P0129,Jewellery Product 129,Jewellery,60420.43,3.8,3691,24,2513360.2
P0126,Home & Furniture Product 126,Home & Furniture,48309.38,3.7,536,29,2496843.26
P0034,Jewellery Product 34,Jewellery,48321.76,3.5,773,29,2447418.16
P0482,Home & Furniture Product 482,Home & Furniture,48175.83,2.6,2272,35,2435227.38
P0254,Home & Furniture Product 254,Home & Furniture,47607.3,3.7,1856,33,2354205.98
P0063,Home & Furniture Product 63,Home & Furniture,48834.1,3.5,1470,29,2312625.49
P0388,Automotive Product 388,Automotive,37992.29,2.9,3500,34,2265014.77
P0387,Home & Furniture Product 387,Home & Furniture,49299.08,3.3,500,31,2262104.12
P0379,Electronics Product 379,Electronics,61713.46,4.2,4461,24,2239668.02
